,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg
,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis
itemID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19725,1797.0,93.0,285.0,136.0,274769.0,152.9,1107.16,33.27,1.043,0.93,1797.0,106.0,344.0,170.0,311859.0,173.54,1539.89,39.24,1.202,1.556,1797.0,75331.0,433232.0,101895.0,330419586.0,183872.89,3536656403.08,59469.79,1.126,1.5,1797.0,467096.0,1949357.0,526897.0,1870676404.0,1040999.67,66941356033.39,258730.28,-0.145,1.058
19726,1797.0,6.0,70.0,14.0,38570.0,21.46,107.34,10.36,1.92,4.406,1797.0,8.0,90.0,20.0,49089.0,27.32,182.27,13.5,2.123,5.288,1797.0,397030.0,3712586.0,1584910.0,3303555245.0,1838372.42,350006663784.12,591613.61,0.386,-0.151,1797.0,2299875.0,10483418.0,9951251.0,8545582690.0,4755471.73,4716142110039.52,2171668.05,1.436,0.964
19727,1797.0,19.0,166.0,61.0,136010.0,75.69,454.04,21.31,1.094,1.884,1797.0,26.0,198.0,80.0,169292.0,94.21,678.16,26.04,1.015,1.566,1797.0,173550.0,855266.0,205879.0,539240216.0,300078.03,6624269325.43,81389.61,2.227,9.173,1797.0,473869.0,1724325.0,1059281.0,2024161432.0,1126411.48,82588773662.92,287382.63,-0.199,-1.036
19728,1797.0,5.0,124.0,6.0,62857.0,34.98,731.46,27.05,0.612,-0.649,1797.0,7.0,160.0,12.0,79683.0,44.34,1036.64,32.2,0.603,-0.647,1797.0,143883.0,2204612.0,403297.0,1360980588.0,757362.6,258007851632.1,507944.73,1.365,0.427,1797.0,390846.0,4220894.0,1817599.0,2646958922.0,1472987.71,533898741401.71,730683.75,0.383,-0.873
19729,1797.0,17.0,141.0,43.0,78253.0,43.55,372.36,19.3,1.943,4.639,1797.0,19.0,149.0,39.0,85327.0,47.48,419.63,20.48,1.937,4.75,1797.0,362061.0,4029776.0,362061.0,2468150960.0,1373484.12,650960190550.39,806821.04,1.566,1.57,1797.0,1450129.0,9137102.0,6321958.0,9447346817.0,5257288.16,2648951749891.08,1627560.06,-0.248,0.394
19730,1797.0,10.0,127.0,22.0,94792.0,52.75,1087.93,32.98,0.529,-1.16,1797.0,13.0,155.0,34.0,109838.0,61.12,1136.52,33.71,0.577,-0.983,1797.0,41488.0,933606.0,190129.0,505297538.0,281189.5,22854397813.16,151176.71,1.17,2.362,1797.0,481747.0,5464082.0,805248.0,2988692400.0,1663156.59,1192046267070.86,1091808.71,1.935,3.588
19731,1797.0,53.0,440.0,101.0,354513.0,197.28,11130.35,105.5,0.53,-1.052,1797.0,68.0,464.0,127.0,406810.0,226.38,11553.52,107.49,0.493,-1.075,1797.0,84491.0,449012.0,134932.0,340393291.0,189423.09,6971964446.01,83498.29,0.955,-0.186,1797.0,111134.0,1822654.0,138467.0,1214637538.0,675925.17,169957967486.31,412259.59,0.32,-0.778
19732,1797.0,167.0,1379.0,205.0,1108632.0,616.93,115149.12,339.34,0.286,-1.287,1797.0,192.0,1510.0,208.0,1158118.0,644.47,119513.32,345.71,0.298,-1.208,1797.0,98033.0,432572.0,131608.0,317958532.0,176938.53,1686692269.0,41069.36,1.709,5.614,1797.0,42014.0,1113655.0,42014.0,827727470.0,460616.29,107301735912.14,327569.44,0.629,-1.099
19739,1797.0,9.0,302.0,23.0,157945.0,87.89,3984.41,63.12,0.746,-0.459,1797.0,15.0,385.0,31.0,191704.0,106.68,5620.3,74.97,0.764,-0.454,1797.0,125925.0,1520586.0,233208.0,793758444.0,441713.1,82513063194.57,287250.87,2.187,4.336,1797.0,104045.0,2438154.0,846300.0,2273975615.0,1265428.83,407341406869.51,638233.03,-0.006,-1.336
19741,1797.0,6.0,94.0,6.0,30395.0,16.91,153.75,12.4,2.092,7.347,1797.0,7.0,113.0,7.0,37534.0,20.89,225.33,15.01,2.072,7.041,1797.0,17328.0,2360298.0,17408.0,1102687813.0,613627.05,294854828219.07,543005.37,0.906,0.024,1797.0,853471.0,9047620.0,5949963.0,9611372930.0,5348565.9,5643627262553.25,2375631.97,-0.118,-1.383
19743,1797.0,8.0,168.0,47.0,113779.0,63.32,1321.48,36.35,0.658,-0.591,1797.0,13.0,191.0,55.0,136244.0,75.82,1705.69,41.3,0.659,-0.541,1797.0,55115.0,1444657.0,516322.0,718689584.0,399938.56,95551717315.03,309114.41,1.16,1.16,1797.0,413074.0,2687679.0,1170558.0,2216698534.0,1233555.11,410313008093.75,640556.8,0.718,-0.673
19745,1797.0,40.0,186.0,110.0,179544.0,99.91,790.3,28.11,0.403,-0.29,1797.0,43.0,192.0,112.0,201489.0,112.13,1095.56,33.1,0.391,-0.516,1797.0,1513047.0,2465966.0,1692156.0,3223684822.0,1793925.89,31123725177.51,176419.17,0.615,0.179,1797.0,11443322.0,18137933.0,15067056.0,26519876452.0,14757861.13,4236442059233.64,2058261.9,-0.108,-1.539
19748,1797.0,8.0,40.0,8.0,30006.0,16.7,43.7,6.61,0.488,-0.494,1797.0,9.0,50.0,9.0,33491.0,18.64,51.7,7.19,0.532,-0.223,1797.0,21302.0,9434255.0,21302.0,4633388177.0,2578401.88,2812319079154.52,1676997.04,0.262,-0.103,1797.0,11654465.0,38160585.0,11654465.0,39129724418.0,21775027.5,34891936775098.36,5906939.71,0.749,0.081
19976,1798.0,6620.0,22998.0,20023.0,29345830.0,16321.37,24086531.22,4907.8,-0.755,-1.028,1798.0,7044.0,25721.0,21320.0,30806915.0,17133.99,25993347.28,5098.37,-0.761,-1.008,1798.0,212173.0,12984460.0,2861144.0,14487394733.0,8057505.41,11029382596314.25,3321051.43,-0.849,-1.197,1798.0,18850.0,155482.0,63238.0,167030142.0,92897.74,694717961.74,26357.5,-0.05,-0.616
24272,1798.0,30.0,115.0,70.0,111595.0,62.07,325.23,18.03,-0.233,-0.733,1798.0,32.0,133.0,78.0,125033.0,69.54,409.02,20.22,-0.104,-0.668,1798.0,135838.0,649350.0,238569.0,706594049.0,392988.9,14077678422.14,118649.39,-0.161,-1.144,1798.0,56551.0,891534.0,85219.0,535987100.0,298101.84,70733792041.51,265958.25,1.148,-0.372
24273,1798.0,103.0,346.0,273.0,383542.0,213.32,3722.51,61.01,-0.244,-1.025,1798.0,113.0,409.0,299.0,444598.0,247.27,4484.96,66.97,-0.328,-0.864,1798.0,48725.0,231247.0,64061.0,213205253.0,118579.12,886207170.69,29769.23,-0.152,-0.179,1798.0,19627.0,188278.0,24186.0,115935818.0,64480.43,1140393871.47,33769.72,1.67,2.536
24274,1798.0,310.0,1219.0,914.0,1350616.0,751.18,46910.35,216.59,-0.211,-1.104,1798.0,346.0,1239.0,1004.0,1444300.0,803.28,53114.27,230.47,-0.317,-1.122,1798.0,83063.0,253638.0,110512.0,255225008.0,141949.39,1844225371.88,42944.45,1.31,0.278,1798.0,27840.0,462456.0,79490.0,342892651.0,190707.81,9426848355.05,97091.96,0.714,-0.409
24275,1798.0,186.0,1557.0,800.0,1220853.0,679.01,72241.38,268.78,0.283,-0.374,1798.0,233.0,1731.0,688.0,1347198.0,749.28,97854.35,312.82,0.326,-0.486,1798.0,31069.0,92206.0,62242.0,106552005.0,59261.4,177163522.19,13310.28,0.377,-0.786,1798.0,5046.0,440951.0,64022.0,313447643.0,174331.28,9912795072.83,99563.02,0.767,-0.648
24276,1798.0,58.0,358.0,89.0,233138.0,129.67,2164.68,46.53,0.439,-0.852,1798.0,60.0,395.0,97.0,240571.0,133.8,2227.23,47.19,0.477,-0.579,1798.0,182115.0,2815042.0,182115.0,1992514722.0,1108183.94,445356686383.25,667350.5,0.509,-1.025,1798.0,233243.0,1728568.0,1393892.0,1978320911.0,1100289.72,123722125950.83,351741.56,-0.397,-0.734
24277,1798.0,540.0,2772.0,802.0,2432955.0,1353.15,181407.95,425.92,0.369,-0.516,1798.0,610.0,2891.0,819.0,2528218.0,1406.13,207031.96,455.01,0.449,-0.337,1798.0,50788.0,278757.0,89768.0,298102347.0,165796.63,3661536938.19,60510.63,0.015,-1.198,1798.0,34120.0,807149.0,109676.0,637363875.0,354484.91,39453707526.97,198629.57,0.439,-1.018
24278,1798.0,4.0,6.0,4.0,7268.0,4.04,0.04,0.2,4.745,21.738,1798.0,5.0,10.0,5.0,9475.0,5.27,0.34,0.58,2.441,6.967,1798.0,23475.0,119386.0,23479.0,43651289.0,24277.69,40434325.68,6358.8,10.591,123.371,1798.0,1270603.0,2234068.0,1482953.0,2898055093.0,1611821.52,49498503531.0,222482.59,0.55,-0.744
24279,1798.0,6.0,155.0,22.0,51844.0,28.83,247.57,15.73,1.728,6.232,1798.0,8.0,191.0,30.0,72717.0,40.44,372.18,19.29,1.679,5.706,1798.0,10762.0,269168.0,34233.0,162869533.0,90583.72,2455490463.39,49552.91,0.756,-0.383,1798.0,17606.0,638940.0,35056.0,310029275.0,172430.08,8442679563.69,91884.06,0.595,0.704
24280,1798.0,128.0,744.0,269.0,659373.0,366.73,12067.73,109.85,0.755,0.202,1798.0,178.0,884.0,292.0,772398.0,429.59,14934.67,122.21,0.477,-0.422,1798.0,24673.0,68370.0,32439.0,74949437.0,41684.89,66960280.86,8182.93,0.571,-0.412,1798.0,12864.0,222571.0,40681.0,175777326.0,97762.7,1451096884.2,38093.27,0.295,0.02
24281,1798.0,166.0,905.0,395.0,706650.0,393.02,12526.18,111.92,1.034,0.986,1798.0,232.0,983.0,393.0,812512.0,451.9,14345.53,119.77,0.822,0.265,1798.0,18560.0,58409.0,28186.0,59312506.0,32988.05,65965921.11,8121.94,0.707,-0.31,1798.0,9722.0,241845.0,105437.0,205243521.0,114151.01,2132869250.36,46183.0,0.611,-0.124
24282,1798.0,12.0,92.0,62.0,84590.0,47.05,446.67,21.13,0.031,-1.312,1798.0,13.0,95.0,64.0,91210.0,50.73,454.73,21.32,-0.008,-1.297,1798.0,7875.0,2066159.0,1480006.0,1892759837.0,1052702.91,269138331644.29,518785.44,-0.373,-1.263,1798.0,11122453.0,19779594.0,12563490.0,28303223877.0,15741503.82,6067203720569.9,2463169.45,-0.099,-1.35
