,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg
,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis
itemID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24297,1798.0,7.0,91.0,30.0,62077.0,34.53,203.88,14.28,1.032,1.199,1798.0,9.0,121.0,41.0,90120.0,50.12,339.7,18.43,0.837,0.632,1798.0,15791.0,194664.0,26189.0,119467406.0,66444.61,1078035241.34,32833.45,0.798,0.42,1798.0,38046.0,521946.0,71626.0,222222722.0,123594.39,4376806080.58,66157.43,2.066,5.847
24298,1798.0,126.0,704.0,253.0,573075.0,318.73,9464.61,97.29,0.859,1.099,1798.0,154.0,743.0,293.0,680624.0,378.55,11683.43,108.09,0.738,0.414,1798.0,34599.0,86111.0,43892.0,104105654.0,57900.81,96630252.18,9830.07,0.633,-0.488,1798.0,21622.0,236035.0,56034.0,214611997.0,119361.51,1862655988.52,43158.5,0.004,-0.424
24299,1798.0,43.0,349.0,66.0,201828.0,112.25,3637.07,60.31,1.43,1.574,1798.0,46.0,359.0,73.0,211264.0,117.5,3757.03,61.29,1.399,1.446,1798.0,139816.0,2242700.0,302097.0,1131726381.0,629436.25,101083463202.0,317936.26,1.463,3.189,1798.0,429680.0,3037951.0,429680.0,2709510145.0,1506957.81,606578169099.16,778831.28,0.37,-1.238
24300,1798.0,1330.0,5403.0,2139.0,4613834.0,2566.09,673473.71,820.65,1.276,1.352,1798.0,1393.0,5670.0,2426.0,4904115.0,2727.54,772819.03,879.1,1.184,1.014,1798.0,14412.0,85589.0,37623.0,68409477.0,38047.54,105034697.05,10248.64,0.585,0.524,1798.0,10526.0,230203.0,63341.0,194311778.0,108071.07,1321560171.19,36353.27,-0.099,-0.263
24341,1798.0,24.0,188.0,61.0,141709.0,78.81,1094.04,33.08,0.899,0.481,1798.0,26.0,192.0,69.0,149806.0,83.32,1192.04,34.53,0.902,0.491,1798.0,648455.0,3422578.0,976299.0,3399433995.0,1890675.19,635235636813.19,797016.71,-0.048,-1.493,1798.0,1284426.0,7025043.0,2067495.0,6657758019.0,3702868.75,2045225621490.92,1430113.85,0.494,-0.45
24342,1798.0,5.0,95.0,5.0,36063.0,20.06,482.15,21.96,1.307,0.404,1798.0,6.0,102.0,6.0,41455.0,23.06,564.37,23.76,1.285,0.372,1798.0,6722.0,539030.0,6759.0,325020090.0,180767.57,37447879443.07,193514.55,0.508,-1.482,1798.0,87030.0,1599996.0,101006.0,832373082.0,462943.87,124594480754.98,352979.43,1.299,1.029
24343,1798.0,8.0,425.0,64.0,286526.0,159.36,10150.83,100.75,0.802,-0.705,1798.0,9.0,568.0,74.0,312138.0,173.6,10879.89,104.31,0.813,-0.636,1798.0,29076.0,158946.0,74113.0,149755296.0,83289.93,533418089.57,23095.85,0.265,-0.254,1798.0,9958.0,240037.0,20275.0,120552681.0,67048.21,3371574971.92,58065.26,1.293,0.073
24344,1798.0,182.0,1798.0,433.0,1522812.0,846.95,159165.43,398.96,0.597,-0.904,1798.0,260.0,2170.0,556.0,1679625.0,934.16,187901.06,433.48,0.544,-1.002,1798.0,21925.0,56751.0,37973.0,69198600.0,38486.43,41447358.77,6437.96,-0.015,-0.738,1798.0,7160.0,354684.0,38058.0,202292520.0,112509.74,5085680239.85,71313.96,1.135,0.646
24345,1798.0,205.0,2299.0,321.0,1399059.0,778.12,218403.17,467.34,0.776,-0.401,1798.0,239.0,2365.0,330.0,1542145.0,857.7,264204.86,514.01,0.734,-0.449,1798.0,60851.0,101067.0,82247.0,150979299.0,83970.69,54363774.44,7373.18,-0.807,0.802,1798.0,3927.0,279893.0,28169.0,168239205.0,93570.19,2912979946.6,53972.03,1.043,0.62
24346,1798.0,4.0,6.0,5.0,8260.0,4.59,0.27,0.52,-0.103,-1.348,1798.0,5.0,9.0,7.0,12075.0,6.72,1.25,1.12,-0.009,-0.883,1798.0,14761.0,188300.0,15045.0,62222592.0,34606.56,845742730.61,29081.66,1.796,2.956,1798.0,4565742.0,8608374.0,8334952.0,12464862542.0,6932626.55,1656818451625.57,1287174.6,-0.141,-1.548
24347,1798.0,6.0,85.0,22.0,57024.0,31.72,224.76,14.99,0.778,-0.127,1798.0,8.0,92.0,31.0,74502.0,41.44,321.82,17.94,0.628,-0.319,1798.0,8968.0,379333.0,147474.0,387204170.0,215352.71,7156538590.06,84596.33,0.223,-1.331,1798.0,69115.0,1248658.0,137820.0,898293699.0,499607.17,84981897972.47,291516.55,0.175,-0.866
24348,1798.0,129.0,705.0,226.0,653002.0,363.18,13572.99,116.5,0.454,-0.681,1798.0,179.0,742.0,320.0,774340.0,430.67,17497.04,132.28,0.255,-1.026,1798.0,51160.0,82202.0,60801.0,113029726.0,62864.14,30070229.41,5483.63,0.509,-0.029,1798.0,18239.0,212861.0,61180.0,179309508.0,99727.2,1447902578.65,38051.32,0.438,-0.29
24349,1798.0,210.0,1776.0,373.0,1019168.0,566.83,107926.5,328.52,1.649,1.889,1798.0,286.0,1819.0,406.0,1136144.0,631.89,115930.61,340.49,1.612,1.656,1798.0,11005.0,54099.0,30844.0,50165289.0,27900.61,60104305.51,7752.7,0.527,-0.407,1798.0,6904.0,323055.0,49335.0,272554550.0,151587.63,8122176351.3,90123.12,0.339,-1.357
24350,1798.0,13.0,96.0,61.0,92532.0,51.46,531.0,23.04,-0.08,-1.158,1798.0,14.0,98.0,21.0,97777.0,54.38,543.36,23.31,-0.103,-1.165,1798.0,218092.0,3402006.0,2228305.0,3134040299.0,1743070.24,500370295272.76,707368.57,-0.152,-0.874,1798.0,5640435.0,23350988.0,21314507.0,23255858826.0,12934293.01,42910225846615.26,6550589.73,0.334,-1.535
24351,1798.0,182.0,2815.0,1190.0,2896060.0,1610.71,306030.02,553.2,-0.405,-0.615,1798.0,282.0,2991.0,2156.0,3258532.0,1812.31,418282.52,646.75,-0.399,-0.851,1798.0,12638.0,177876.0,56973.0,117375283.0,65281.03,504915308.35,22470.32,0.655,2.87,1798.0,45886.0,394399.0,134781.0,304509018.0,169359.85,3855039117.04,62088.96,1.027,1.018
24352,1798.0,4.0,24.0,4.0,9322.0,5.18,8.59,2.93,3.232,11.142,1798.0,5.0,26.0,5.0,11363.0,6.32,10.33,3.21,3.025,9.353,1798.0,31704.0,465719.0,31704.0,178619820.0,99343.62,17437437477.45,132050.89,1.618,0.884,1798.0,459528.0,3588117.0,459528.0,3687948873.0,2051139.53,943365003823.1,971269.79,-0.28,-1.243
24353,1798.0,10.0,202.0,52.0,160494.0,89.26,1883.41,43.4,0.072,-1.065,1798.0,14.0,216.0,58.0,188957.0,105.09,2040.82,45.18,0.059,-1.101,1798.0,25846.0,211970.0,58039.0,156764907.0,87188.49,1166656988.12,34156.36,0.282,-0.535,1798.0,11324.0,110852.0,29572.0,100162453.0,55707.7,589850050.36,24286.83,0.415,-0.923
24354,1798.0,181.0,1074.0,297.0,1072840.0,596.69,52717.4,229.6,-0.055,-1.339,1798.0,243.0,1174.0,860.0,1202002.0,668.52,62568.12,250.14,-0.2,-1.425,1798.0,32990.0,64907.0,48831.0,85264257.0,47421.72,39228316.16,6263.25,-0.251,-0.647,1798.0,6972.0,191616.0,31033.0,137809347.0,76645.91,956826268.31,30932.61,0.371,0.089
24355,1798.0,202.0,988.0,464.0,965899.0,537.21,23787.5,154.23,0.257,-0.722,1798.0,249.0,1043.0,614.0,1063001.0,591.21,25889.38,160.9,0.081,-0.838,1798.0,14303.0,47227.0,28813.0,53032997.0,29495.55,25001808.03,5000.18,0.359,0.673,1798.0,7810.0,200311.0,43751.0,169746245.0,94408.37,1566707904.51,39581.66,0.241,-0.759
24356,1798.0,12.0,96.0,28.0,82636.0,45.96,438.72,20.95,0.127,-1.284,1798.0,13.0,98.0,30.0,87980.0,48.93,442.58,21.04,0.136,-1.22,1798.0,39923.0,2806295.0,582987.0,2424368017.0,1348369.31,479655008499.73,692571.3,-0.168,-1.224,1798.0,6143162.0,19174600.0,6143162.0,23754957365.0,13211878.4,27042696767602.36,5200259.3,-0.426,-1.653
24357,1798.0,710.0,3209.0,1053.0,2548632.0,1417.48,156216.71,395.24,0.686,0.436,1798.0,814.0,3695.0,1001.0,2803551.0,1559.26,212936.35,461.45,0.741,0.183,1798.0,15548.0,340188.0,23702.0,80337888.0,44681.81,423836444.27,20587.29,4.807,51.794,1798.0,44305.0,321050.0,170840.0,346019129.0,192446.68,2332776808.9,48298.83,0.448,0.561
24358,1798.0,1106.0,3059.0,1843.0,3835183.0,2133.03,146354.63,382.56,-0.036,-0.302,1798.0,1285.0,3283.0,2575.0,4177052.0,2323.17,140002.74,374.17,-0.141,-0.376,1798.0,19638.0,96079.0,45109.0,100630346.0,55967.93,233709611.59,15287.56,0.039,-1.055,1798.0,29291.0,248626.0,51766.0,194269522.0,108047.57,2218570239.8,47101.7,0.886,0.07
24363,1798.0,116.0,1537.0,313.0,726993.0,404.33,52379.37,228.87,2.918,8.737,1798.0,154.0,1558.0,297.0,816807.0,454.29,56990.52,238.73,2.812,8.128,1798.0,10758.0,60368.0,30509.0,52449927.0,29171.26,91543739.73,9567.85,0.46,-0.088,1798.0,24070.0,277946.0,161612.0,300439243.0,167096.35,2450455654.84,49502.08,-0.635,0.408
29166,1798.0,110006.0,2974308.0,201107.0,1614949600.0,898192.21,734628366214.4,857104.64,0.896,-0.603,1798.0,158154.0,3229600.0,349998.0,1958757501.0,1089409.07,952364871328.02,975891.83,0.847,-0.722,1798.0,754.0,813.0,780.0,1407704.0,782.93,76.25,8.73,0.273,-0.008,1798.0,52.0,238.0,100.0,257352.0,143.13,2733.14,52.28,-0.035,-1.45
29167,1798.0,155978.0,4120004.0,390505.0,2406851035.0,1338626.83,1222659972545.32,1105739.56,0.547,-1.053,1798.0,227302.0,4923619.0,389991.0,2882316637.0,1603068.21,1577634850231.87,1256039.35,0.503,-1.106,1798.0,1444.0,1535.0,1467.0,2663905.0,1481.59,341.8,18.49,0.25,-0.833,1798.0,28.0,278.0,66.0,243152.0,135.23,5637.2,75.08,0.295,-1.515
29168,1798.0,30275.0,643174.0,150000.0,329677241.0,183357.75,17596203843.4,132650.68,1.211,0.996,1798.0,45000.0,819999.0,149910.0,453014674.0,251954.77,26310695410.39,162205.72,1.004,0.524,1798.0,127.0,239.0,152.0,280718.0,156.13,329.02,18.14,1.383,2.065,1798.0,95.0,416.0,170.0,362188.0,201.44,6103.52,78.13,1.102,0.34
29169,1798.0,152230.0,4100000.0,1500000.0,2533356343.0,1408985.73,614751225888.69,784060.73,0.589,0.57,1798.0,254625.0,4595466.0,1750000.0,3083611406.0,1715023.03,794974972185.89,891613.69,0.418,0.263,1798.0,2391.0,2618.0,2457.0,4413436.0,2454.64,676.97,26.02,-0.211,0.676,1798.0,53.0,338.0,109.0,269650.0,149.97,4116.37,64.16,1.421,0.958
29170,1798.0,52231.0,3000006.0,730002.0,1068919532.0,594504.75,304735126016.05,552028.19,1.333,1.613,1798.0,95941.0,3564870.0,999999.0,1326842051.0,737954.42,400157435065.51,632579.98,1.245,1.354,1798.0,420.0,694.0,441.0,803368.0,446.81,423.43,20.58,6.605,72.23,1798.0,42.0,335.0,124.0,336487.0,187.15,4938.03,70.27,0.127,-1.328
29171,1798.0,150006.0,2937232.0,250000.0,753999658.0,419354.65,152451581162.33,390450.48,3.984,17.023,1798.0,220603.0,3272322.0,389997.0,989202789.0,550168.4,211196410430.32,459561.11,3.829,15.716,1798.0,106.0,230.0,128.0,254012.0,141.27,465.63,21.58,1.096,1.389,1798.0,23.0,241.0,135.0,247031.0,137.39,1466.09,38.29,0.285,0.318
29172,1798.0,115106.0,1660003.0,700000.0,978683969.0,544318.11,143609670829.45,378958.67,0.866,-0.019,1798.0,163692.0,1899181.0,499996.0,1246149344.0,693075.27,195203749512.33,441818.68,0.798,-0.153,1798.0,815.0,1056.0,934.0,1641183.0,912.78,2519.7,50.2,-0.807,-0.637,1798.0,88.0,292.0,131.0,323792.0,180.08,2520.55,50.21,0.474,-0.917
29173,1798.0,20076.0,1550002.0,130000.0,660503178.0,367354.38,144777343130.26,380496.18,1.128,-0.065,1798.0,70230.0,1747777.0,128998.0,834846171.0,464319.34,197235725816.57,444112.29,1.087,-0.151,1798.0,123.0,230.0,157.0,288166.0,160.27,230.88,15.19,0.422,0.709,1798.0,40.0,315.0,264.0,348499.0,193.83,5934.57,77.04,-0.351,-1.24
29174,1798.0,30000.0,2320012.0,130131.0,1060280397.0,589699.89,357620619207.58,598013.9,0.958,-0.468,1798.0,73539.0,2599999.0,185000.0,1312234698.0,729830.2,486755605059.35,697678.73,0.941,-0.515,1798.0,359.0,434.0,399.0,726612.0,404.12,194.38,13.94,-0.302,-0.476,1798.0,21.0,246.0,143.0,210905.0,117.3,2751.52,52.45,0.152,-0.892
29175,1798.0,200398.0,3831906.0,300000.0,1626661890.0,904706.28,665774961817.51,815950.34,1.331,1.245,1798.0,249996.0,4319890.0,399998.0,1990094777.0,1106838.03,862042794649.08,928462.6,1.265,0.971,1798.0,797.0,5821.0,811.0,2880401.0,1602.0,246539.93,496.53,0.974,7.471,1798.0,26.0,272.0,214.0,280534.0,156.03,4955.86,70.4,-0.214,-1.567
29176,1798.0,10372.0,2100001.0,150024.0,1102479051.0,613169.66,397425019761.86,630416.54,0.876,-0.759,1798.0,49231.0,2369048.0,239998.0,1356371392.0,754377.86,520037521902.19,721136.27,0.845,-0.835,1798.0,228.0,346.0,265.0,498625.0,277.32,264.74,16.27,0.703,1.334,1798.0,64.0,317.0,89.0,328443.0,182.67,4982.43,70.59,-0.011,-1.347
29177,1798.0,32288.0,1570101.0,500000.0,1177132602.0,654689.99,181281239872.65,425771.35,0.317,-0.867,1798.0,50843.0,1843332.0,600000.0,1471975390.0,818673.74,241607628638.31,491535.99,0.197,-0.83,1798.0,314.0,430.0,351.0,629273.0,349.98,124.9,11.18,-0.227,2.804,1798.0,82.0,312.0,129.0,253349.0,140.91,2872.87,53.6,1.622,1.551
29178,1798.0,50002.0,1575100.0,373845.0,682914354.0,379818.88,147316004686.92,383817.67,1.475,1.218,1798.0,78716.0,1749767.0,1000000.0,869981698.0,483860.79,198816908640.49,445888.9,1.377,0.898,1798.0,1379.0,1507.0,1407.0,2549632.0,1418.04,406.51,20.16,1.082,1.54,1798.0,72.0,342.0,172.0,389302.0,216.52,4428.7,66.55,-0.136,-0.909
29179,1798.0,20002.0,683333.0,150000.0,274083472.0,152437.97,8919243876.83,94441.75,1.239,2.556,1798.0,49987.0,1009683.0,229998.0,394968321.0,219670.92,14396046230.15,119983.52,1.128,2.585,1798.0,160.0,326.0,183.0,359847.0,200.14,465.1,21.57,0.786,1.198,1798.0,54.0,355.0,180.0,345376.0,192.09,2883.88,53.7,0.537,0.558
29180,1798.0,101011.0,3400005.0,101119.0,1778348641.0,989070.43,777008469168.91,881480.84,0.968,-0.194,1798.0,126446.0,3789996.0,569998.0,2160590938.0,1201663.48,1016516955997.38,1008224.66,0.906,-0.375,1798.0,2254.0,2521.0,2370.0,4292930.0,2387.61,736.29,27.13,0.036,0.431,1798.0,79.0,433.0,129.0,384958.0,214.1,7763.57,88.11,0.335,-0.882
29181,1798.0,130002.0,4454504.0,400000.0,2215105584.0,1231983.08,1242003413796.2,1114452.07,0.954,-0.337,1798.0,182773.0,4799789.0,574595.0,2643720743.0,1470367.49,1575168179435.91,1255057.04,0.898,-0.505,1798.0,1623.0,1711.0,1682.0,2993276.0,1664.78,280.47,16.75,-0.098,-1.184,1798.0,56.0,408.0,87.0,376530.0,209.42,12205.82,110.48,0.075,-1.584
29182,1798.0,20104.0,1414529.0,60063.0,585511347.0,325645.91,104051706800.57,322570.47,1.19,0.179,1798.0,29822.0,1699857.0,199999.0,748251927.0,416157.91,141999628033.59,376828.38,1.155,0.184,1798.0,102.0,489.0,131.0,252295.0,140.32,615.18,24.8,4.012,43.367,1798.0,37.0,329.0,149.0,271498.0,151.0,3885.88,62.34,0.85,0.336
29183,1798.0,11528.0,820715.0,200000.0,404123639.0,224762.87,18461579683.24,135873.4,1.224,1.957,1798.0,44396.0,1287378.0,700000.0,557614541.0,310130.45,30498491643.0,174638.17,1.222,2.158,1798.0,104.0,4325.0,133.0,272549.0,151.58,10928.49,104.54,35.708,1412.532,1798.0,62.0,279.0,195.0,344441.0,191.57,1351.51,36.76,-0.26,-0.127
29184,1798.0,10113.0,808081.0,300000.0,452159011.0,251478.87,30537361626.07,174749.43,0.471,-0.635,1798.0,48625.0,911543.0,400000.0,606376160.0,337250.37,43858560264.67,209424.35,0.243,-0.917,1798.0,119.0,424.0,147.0,331899.0,184.59,7144.01,84.52,2.231,3.196,1798.0,76.0,256.0,95.0,259823.0,144.51,2401.43,49.0,0.542,-1.214
29185,1798.0,527621.0,5902618.0,3150000.0,4552212979.0,2531820.34,1871225505974.71,1367927.45,-0.009,-1.299,1798.0,689998.0,6499998.0,4000000.0,5362838556.0,2982668.83,2349977958058.95,1532963.78,-0.056,-1.352,1798.0,4385.0,4894.0,4418.0,8084395.0,4496.33,22332.23,149.44,2.016,2.309,1798.0,30.0,229.0,93.0,200670.0,111.61,1569.91,39.62,0.466,-0.579
49424,1786.0,2.0,45.0,3.0,25975.0,14.54,110.05,10.49,0.961,-0.029,1798.0,2.0,56.0,5.0,32078.0,17.84,132.9,11.53,0.836,-0.265,1786.0,652.0,11965594.0,652.0,9086249940.0,5087485.97,8170260165824.48,2858366.7,0.904,-0.057,1798.0,3990850.0,21584723.0,3990850.0,20437635699.0,11366871.91,15722073196249.68,3965106.96,0.795,-0.151
49425,1798.0,94.0,300.0,160.0,320627.0,178.32,650.34,25.5,0.741,0.456,1798.0,136.0,2094.0,199.0,469067.0,260.88,5791.11,76.1,9.809,201.413,1798.0,4596.0,84004.0,7056.0,61060703.0,33960.35,396908264.46,19922.56,0.202,-1.132,1798.0,1602.0,89282.0,26137.0,69424033.0,38611.81,368488606.84,19196.06,0.346,-0.587
49426,1798.0,269.0,799.0,467.0,890478.0,495.26,1986.64,44.57,0.88,2.077,1798.0,423.0,2671.0,502.0,1055337.0,586.95,14927.16,122.18,4.818,55.89,1798.0,1200.0,60384.0,37314.0,43241416.0,24049.73,130833312.38,11438.24,0.092,-0.449,1798.0,638.0,80006.0,40802.0,44604469.0,24807.82,324684105.42,18018.99,0.286,-0.643
49427,1798.0,515.0,1774.0,1227.0,2144552.0,1192.74,10544.25,102.69,0.443,2.884,1798.0,1152.0,2928.0,1500.0,2992879.0,1664.56,60247.67,245.45,1.499,3.549,1798.0,950.0,20068.0,5103.0,12582913.0,6998.28,19961039.69,4467.78,0.861,-0.489,1798.0,2010.0,16206.0,5059.0,15781442.0,8777.22,11224883.93,3350.36,0.057,-1.2
49428,1798.0,1140.0,3684.0,2501.0,4550351.0,2530.78,49347.97,222.14,0.41,2.801,1798.0,2397.0,14738.0,3199.0,6026621.0,3351.85,344818.85,587.21,7.818,112.469,1798.0,1132.0,17502.0,3459.0,11451819.0,6369.2,11708557.03,3421.78,1.425,1.341,1798.0,284.0,16410.0,3632.0,9214691.0,5124.97,6615361.16,2572.03,0.985,0.685
49429,1798.0,2651.0,6664.0,5001.0,8929710.0,4966.47,121232.36,348.18,0.609,2.208,1798.0,4403.0,15028.0,4997.0,10351258.0,5757.1,697928.67,835.42,2.039,10.621,1798.0,2092.0,11219.0,5708.0,9659821.0,5372.54,3046382.91,1745.39,0.557,0.347,1798.0,210.0,11719.0,749.0,11660898.0,6485.48,13474136.56,3670.71,-0.553,-1.275
49430,1798.0,7062.0,13002.0,9673.0,18596389.0,10342.82,481670.61,694.02,0.723,0.917,1798.0,9962.0,19511.0,12867.0,23448320.0,13041.33,1437472.1,1198.95,0.762,0.833,1798.0,179.0,12019.0,403.0,2705884.0,1504.94,2123331.02,1457.17,4.955,31.87,1798.0,972.0,10068.0,1667.0,6345849.0,3529.39,2896563.23,1701.93,1.037,1.269
49431,1798.0,11260.0,29264.0,20124.0,38110691.0,21196.16,2811501.15,1676.75,0.707,1.331,1798.0,21728.0,36618.0,23701.0,47876164.0,26627.45,5329195.66,2308.51,0.468,-0.507,1798.0,634.0,7460.0,1021.0,4982606.0,2771.19,6502149.36,2549.93,0.861,-1.219,1798.0,883.0,4919.0,1429.0,3763252.0,2093.02,682013.25,825.84,1.193,0.906
49432,1798.0,32592.0,54641.0,41056.0,75529987.0,42007.78,8311251.43,2882.92,0.891,0.477,1798.0,39261.0,63612.0,49927.0,90201834.0,50167.87,11650583.33,3413.3,0.72,0.59,1798.0,2495.0,9463.0,3322.0,9012723.0,5012.64,5254748.19,2292.32,0.798,-1.248,1798.0,1505.0,11416.0,3500.0,8081673.0,4494.81,3041273.83,1743.92,1.631,3.391
49433,1798.0,61449.0,110043.0,90000.0,154376800.0,85860.29,39642086.68,6296.2,0.448,0.091,1798.0,80698.0,126538.0,94999.0,188884818.0,105052.74,62281458.48,7891.86,0.471,-0.497,1798.0,1027.0,3573.0,1333.0,2827591.0,1572.63,68905.2,262.5,1.811,8.062,1798.0,1452.0,3763.0,1852.0,3961130.0,2203.08,190406.94,436.36,1.066,0.916
49434,1798.0,140202.0,203715.0,180000.0,300572025.0,167170.2,133253850.32,11543.56,0.767,-0.116,1798.0,159076.0,244892.0,189999.0,365522638.0,203294.01,229701298.07,15155.9,0.557,0.03,1798.0,1108.0,3454.0,1439.0,3129936.0,1740.79,401512.27,633.65,1.643,0.98,1798.0,217.0,1383.0,657.0,1231140.0,684.73,48767.48,220.83,0.677,-0.056
49435,1798.0,201557.0,500050.0,313523.0,608568828.0,338469.87,609893653.19,24696.03,0.779,1.601,1798.0,320011.0,559955.0,399998.0,764002346.0,424917.88,1341711336.92,36629.38,0.56,-0.268,1798.0,900.0,1190.0,1026.0,1809883.0,1006.61,2010.18,44.83,0.098,-0.635,1798.0,312.0,654.0,387.0,861935.0,479.39,6976.44,83.53,0.087,-1.172
49436,1798.0,520728.0,926938.0,700000.0,1214489899.0,675467.13,2957772114.31,54385.4,0.373,0.063,1798.0,651802.0,1339696.0,799999.0,1520400860.0,845606.71,6187571173.52,78661.12,1.34,3.87,1798.0,1146.0,1524.0,1166.0,2195667.0,1221.17,4462.52,66.8,1.419,2.482,1798.0,74.0,218.0,109.0,238646.0,132.73,850.46,29.16,0.419,-0.463
49437,1798.0,950001.0,1798658.0,1450000.0,2366311719.0,1316079.93,12048026040.93,109763.5,0.793,0.756,1798.0,1227354.0,2459999.0,1500000.0,3015900367.0,1677363.94,22503711323.99,150012.37,0.686,1.181,1798.0,1503.0,3174.0,2859.0,4826223.0,2684.22,94341.82,307.15,-2.653,7.615,1798.0,40.0,151.0,63.0,139314.0,77.48,361.58,19.02,0.756,0.516
49438,1798.0,455668.0,3509930.0,2500000.0,4728403912.0,2629813.08,71931133826.06,268199.8,-0.211,3.88,1798.0,2549998.0,4836853.0,3000000.0,6144496356.0,3417406.2,100192517105.7,316532.02,0.319,-0.442,1798.0,308.0,1139.0,327.0,907364.0,504.65,62692.8,250.39,1.39,0.773,1798.0,41.0,93.0,57.0,112499.0,62.57,85.97,9.27,0.616,0.08
49439,1798.0,2502573.0,7999997.0,6000000.0,9889409922.0,5500227.99,353138207987.18,594254.33,0.347,0.547,1798.0,5173811.0,9490000.0,6999999.0,12487104429.0,6944996.9,364677161404.95,603885.06,0.656,0.006,1798.0,1797.0,7077.0,6812.0,11521483.0,6407.94,1420040.63,1191.65,-3.485,10.474,1798.0,47.0,128.0,71.0,134271.0,74.68,159.42,12.63,0.965,1.815
49440,1798.0,1500017.0,13999999.0,9000001.0,15823269516.0,8800483.6,2511777458142.45,1584858.81,0.317,0.958,1798.0,10000000.0,23490000.0,13400000.0,27371900752.0,15223526.56,7873024167201.88,2805890.98,1.345,1.359,1798.0,2053.0,3174.0,2797.0,4623201.0,2571.3,140819.04,375.26,-0.05,-1.456,1798.0,1.0,21.0,10.0,16577.0,9.22,14.2,3.77,0.116,0.43
49441,1798.0,9991227.0,25000002.0,13377807.0,27406008156.0,15242496.19,8406051528075.31,2899319.15,0.747,0.37,1563.0,15669918.0,74700000.0,27999999.0,53034360235.0,33931132.59,89880088448874.1,9480510.98,1.733,3.175,1798.0,1927.0,5296.0,5271.0,5685348.0,3162.04,2360389.31,1536.36,0.636,-1.574,1563.0,1.0,9.0,3.0,5930.0,3.79,3.48,1.87,0.248,-0.886
49442,1798.0,10009999.0,30003030.0,10010007.0,33488565962.0,18625453.82,43404959268407.42,6588244.02,-0.474,-1.626,362.0,51132579.0,85550599.0,85550599.0,29800855322.0,82322804.76,29451130390502.86,5426889.57,-2.63,9.844,1798.0,317.0,1707.0,318.0,1302385.0,724.35,122804.47,350.43,0.504,-0.005,362.0,1.0,3.0,1.0,522.0,1.44,0.28,0.52,0.521,-1.094
49443,1798.0,2022021.0,40007215.0,6000007.0,23117736277.0,12857472.9,116035512576503.95,10771978.12,0.436,-1.377,0.0,,,,,,,,,,1798.0,1271.0,1521.0,1273.0,2352472.0,1308.38,5948.04,77.12,2.366,3.657,0.0,,,,,,,,,
66930,1631.0,39.0,55.0,39.0,64211.0,39.37,0.57,0.75,7.861,136.373,1798.0,39.0,67.0,40.0,73903.0,41.1,12.86,3.59,4.741,23.861,1631.0,31.0,1286394.0,4832.0,388564665.0,238237.07,70248306116.54,265043.97,1.776,2.665,1798.0,421826.0,698816.0,435285.0,942549144.0,524220.88,4422883723.89,66504.76,0.232,-0.747
68942,1502.0,75.0,2302.0,75.0,841186.0,560.04,364737.21,603.93,1.355,0.357,1798.0,75.0,2668.0,75.0,947448.0,526.95,399609.02,632.15,1.584,1.152,1502.0,1.0,110205.0,15.0,27256051.0,18146.51,195160624.5,13969.99,3.12,13.892,1798.0,10923.0,269359.0,27223.0,257463053.0,143194.13,4729818040.29,68773.67,-0.51,-0.686
68952,1794.0,39.0,261.0,39.0,90076.0,50.21,511.41,22.61,2.65,9.738,1798.0,39.0,617.0,40.0,112532.0,62.59,1612.35,40.15,3.848,29.616,1794.0,15.0,1254325.0,9437.0,420822042.0,234571.93,80457439222.22,283650.21,1.789,2.285,1798.0,13319.0,198093.0,66141.0,183773057.0,102209.71,932956848.43,30544.34,0.135,0.784
70842,1749.0,75.0,514.0,76.0,216165.0,123.59,8079.47,89.89,2.241,3.87,1798.0,76.0,579.0,102.0,301961.0,167.94,12070.96,109.87,2.123,3.652,1749.0,5.0,113986.0,39.0,32493410.0,18578.28,182553289.46,13511.23,1.783,8.767,1798.0,410140.0,1016622.0,457102.0,1473580980.0,819566.73,27728862125.61,166519.86,-1.485,0.719
